date|open|high|low|close|adj close|volume
2022-12-02|288.54|293.45|288.36|292.55|292.55|53520800
2022-12-01|293.69|295.75|290.88|293.72|293.72|51547300
2022-11-30|280.84|293.47|279.97|293.36|293.36|74387600
2022-11-29|282.94|283.35|279.17|280.57|280.57|35618900
2022-11-28|284.9|286.96|281.76|282.71|282.71|38714200
2022-11-25|287.19|287.91|286.42|286.92|286.92|15498800
2022-11-23|285.97|289.46|285.79|288.82|288.82|46390000
2022-11-22|282.64|286.11|280.46|285.95|285.95|41873400
2022-11-21|283.4|284.58|281.04|281.89|281.89|40083500
2022-11-18|287.89|287.99|282.32|284.82|284.82|53351400
2022-11-17|280.88|286.32|280.72|284.81|284.81|55462100
2022-11-16|287.39|289.48|284.6|285.44|285.44|48859800
2022-11-15|292.21|293.26|285.97|289.39|289.39|73985400
2022-11-14|285.86|289.21|284.44|285.44|285.44|55290700
2022-11-11|282.56|288.64|281.19|287.96|287.96|66871800
2022-11-10|276.01|283.05|273.85|282.75|282.75|99256700
2022-11-09|267.76|268.56|263.03|263.32|263.32|64862100
2022-11-08|269.14|272.85|265.52|269.54|269.54|63213800
2022-11-07|265.75|268.14|263.57|267.59|267.59|47333800
2022-11-04|265.53|266.61|259.08|264.68|264.68|78241000
2022-11-03|263.01|264.5|260.1|260.49|260.49|70038900
2022-11-02|275.08|278.21|265.61|265.68|265.68|79803100
2022-11-01|281.5|282.07|274.74|275.11|275.11|45895900
2022-10-31|278.92|279.76|275.99|277.95|277.95|47742000
2022-10-28|272.23|281.7|272.06|281.22|281.22|62651300
2022-10-27|276.79|278.28|272.34|272.87|272.87|57760300
2022-10-26|278.46|283.98|277.43|277.93|277.93|63492400
2022-10-25|279.41|284.6|277.9|284.21|284.21|59014500
2022-10-24|275.69|279.4|271.97|278.45|278.45|63963600
2022-10-21|267.98|275.97|266.82|275.42|275.42|77897700
2022-10-20|269.58|274.84|267.92|269.11|269.11|60605500
2022-10-19|269.93|273.68|268.07|270.49|270.49|53115400
2022-10-18|276.53|277.21|268.74|271.48|271.48|69781000
2022-10-17|266.84|270.24|266.74|269.35|269.35|64576500
2022-10-14|271.2|271.81|260.14|260.74|260.74|77244300
2022-10-13|255.16|270.17|254.26|268.82|268.82|112894100
2022-10-12|263.4|265.36|261.95|262.66|262.66|50580200
2022-10-11|264.7|267.63|261.03|262.75|262.75|66522500
2022-10-10|269.3|269.7|263.64|266.41|266.41|60393000
2022-10-07|275.02|275.15|267.74|269.1|269.1|71354700
2022-10-06|280.96|284.18|279.43|279.76|279.76|53489400
2022-10-05|278.28|283.81|275.42|281.98|281.98|55766300
2022-10-04|278.99|282.85|278.99|282.13|282.13|66696900
2022-10-03|269.07|275.16|267.53|273.53|273.53|61267400
